steptools/as1-ac-214.stp: 5 solids, 53 faces [P25 Cy28 S0 Co0 T0 B0 R0], 0 primitive, oracle 5/5, assemble no (solid is not a recognised primitive)
steptools/as1-ec-214.stp: 5 solids, 53 faces [P25 Cy28 S0 Co0 T0 B0 R0], 0 primitive, oracle 5/5, assemble no (solid is not a recognised primitive)
steptools/as1-md-214.stp: 5 solids, 39 faces [P25 Cy14 S0 Co0 T0 B0 R0], 1 primitive, oracle 5/5, assemble no (solid is not a recognised primitive)
steptools/as1-tc-214.stp: 5 solids, 53 faces [P25 Cy0 S0 Co0 T0 B28 R0], 0 primitive, oracle 5/5, assemble no (solid is not a recognised primitive)
steptools/as1-ug-214.stp: 5 solids, 39 faces [P25 Cy14 S0 Co0 T0 B0 R0], 1 primitive, oracle 5/5, assemble no (solid is not a recognised primitive)
steptools/boxy_with_cylindricity.stp: 1 solids, 80 faces [P29 Cy40 S0 Co11 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/boxy_with_diamsize.stp: 1 solids, 80 faces [P29 Cy40 S0 Co11 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/boxy_with_flatness.stp: 1 solids, 80 faces [P29 Cy40 S0 Co11 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/boxy_with_limitsandfits.stp: 1 solids, 80 faces [P29 Cy40 S0 Co11 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/boxy_with_linearsize.stp: 1 solids, 80 faces [P29 Cy40 S0 Co11 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/boxy_with_perp.stp: 1 solids, 80 faces [P29 Cy40 S0 Co11 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/boxy_with_surfacetex.stp: 1 solids, 80 faces [P29 Cy40 S0 Co11 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/d2-db-214.stp: 1 solids, 9 faces [P9 Cy0 S0 Co0 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/f1-db-214.stp: 3 solids, 20 faces [P10 Cy0 S0 Co0 T0 B10 R0], 0 primitive, oracle 2/3, assemble no (solid is not a recognised primitive)
steptools/io1-ac-214.stp: 1 solids, 29 faces [P5 Cy22 S0 Co2 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/io1-ca-214.stp: 1 solids, 29 faces [P0 Cy0 S0 Co0 T0 B29 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/io1-ec-214.stp: 1 solids, 17 faces [P5 Cy11 S0 Co1 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/io1-md-214.stp: 1 solids, 17 faces [P5 Cy11 S0 Co1 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/io1-tc-214.stp: 1 solids, 29 faces [P5 Cy0 S0 Co0 T0 B0 R24], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
steptools/io1-ug-214.stp: 1 solids, 17 faces [P5 Cy11 S0 Co1 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)

53 files
